"행정구역","2025년_전체","2025년_남자","2025년_여자","2025년_아동전체","2025년_아동남자","2025년_아동여자","2025년_청소년전체","2025년_청소년남자","2025년_청소년여자","2025년_청년전체","2025년_청년남자","2025년_청년여자"
"인천광역시 남동구 (2820000000)","480,147","238,057","242,090","58,973","30,332","28,641","70,918","36,459","34,459","91,619","48,018","43,601"
"인천광역시 남동구 구월1동(2820051000)","30,227","14,683","15,544","4,329","2,216","2,113","4,635","2,267","2,368","5,884","2,892","2,992"
"인천광역시 남동구 구월2동(2820052000)","36,722","17,973","18,749","6,231","3,231","3,000","6,683","3,480","3,203","6,579","3,365","3,214"
"인천광역시 남동구 구월3동(2820052100)","27,772","14,013","13,759","2,101","1,093","1,008","3,588","1,689","1,899","8,879","4,359","4,520"
"인천광역시 남동구 구월4동(2820052200)","12,722","6,484","6,238","787","428","359","1,245","687","558","2,287","1,255","1,032"
"인천광역시 남동구 간석1동(2820053000)","17,750","8,714","9,036","1,496","767","729","1,950","1,017","933","3,838","2,033","1,805"
"인천광역시 남동구 간석2동(2820054000)","20,397","10,196","10,201","2,492","1,317","1,175","3,019","1,591","1,428","3,744","1,972","1,772"
"인천광역시 남동구 간석3동(2820055000)","24,824","12,463","12,361","2,257","1,186","1,071","2,866","1,445","1,421","4,642","2,433","2,209"
"인천광역시 남동구 간석4동(2820055100)","27,638","13,748","13,890","2,737","1,381","1,356","3,480","1,761","1,719","5,823","2,975","2,848"
"인천광역시 남동구 만수1동(2820056000)","15,117","7,337","7,780","978","493","485","1,344","677","667","2,685","1,440","1,245"
"인천광역시 남동구 만수2동(2820057000)","22,071","10,774","11,297","2,637","1,323","1,314","3,362","1,692","1,670","3,879","1,998","1,881"
"인천광역시 남동구 만수3동(2820058000)","15,672","7,872","7,800","1,841","950","891","2,265","1,177","1,088","2,857","1,534","1,323"
"인천광역시 남동구 만수4동(2820058100)","18,303","8,804","9,499","1,824","917","907","2,318","1,211","1,107","3,350","1,805","1,545"
"인천광역시 남동구 만수5동(2820058200)","13,857","6,920","6,937","934","489","445","1,304","674","630","2,563","1,389","1,174"
"인천광역시 남동구 만수6동(2820058300)","21,719","10,439","11,280","2,019","1,011","1,008","2,854","1,470","1,384","3,773","2,020","1,753"
"인천광역시 남동구 장수서창동(2820065000)","18,270","9,133","9,137","2,337","1,194","1,143","2,933","1,564","1,369","2,930","1,650","1,280"
"인천광역시 남동구 서창2동(2820065500)","37,457","18,537","18,920","7,562","3,964","3,598","6,876","3,644","3,232","5,415","2,743","2,672"
"인천광역시 남동구 남촌도림동(2820066000)","18,772","9,594","9,178","1,722","887","835","2,380","1,287","1,093","3,178","1,774","1,404"
"인천광역시 남동구 논현1동(2820069000)","31,003","15,555","15,448","4,243","2,162","2,081","5,112","2,601","2,511","5,838","3,106","2,732"
"인천광역시 남동구 논현2동(2820070000)","30,559","15,390","15,169","3,439","1,789","1,650","4,665","2,451","2,214","6,319","3,567","2,752"
"인천광역시 남동구 논현고잔동(2820071000)","39,295","19,428","19,867","7,007","3,534","3,473","8,039","4,074","3,965","7,156","3,708","3,448"
