"행정구역","2025년_전체","2025년_남자","2025년_여자","2025년_아동전체","2025년_아동남자","2025년_아동여자","2025년_청소년전체","2025년_청소년남자","2025년_청소년여자","2025년_청년전체","2025년_청년남자","2025년_청년여자"
"인천광역시 미추홀구 (2817700000)","417,578","209,946","207,632","48,481","24,853","23,628","56,320","29,006","27,314","83,822","44,330","39,492"
"인천광역시 미추홀구 숭의2동(2817751000)","13,379","6,703","6,676","1,439","743","696","1,563","818","745","2,424","1,286","1,138"
"인천광역시 미추홀구 숭의1.3동(2817752000)","17,415","8,665","8,750","2,079","1,071","1,008","2,056","1,039","1,017","3,844","1,916","1,928"
"인천광역시 미추홀구 숭의4동(2817753000)","16,459","8,242","8,217","2,009","1,040","969","2,057","1,080","977","2,885","1,531","1,354"
"인천광역시 미추홀구 용현1.4동(2817754000)","16,932","9,325","7,607","943","496","447","3,820","2,204","1,616","5,794","3,679","2,115"
"인천광역시 미추홀구 용현2동(2817755000)","22,592","11,254","11,338","3,508","1,822","1,686","2,742","1,435","1,307","4,459","2,231","2,228"
"인천광역시 미추홀구 용현3동(2817756000)","6,680","3,549","3,131","363","181","182","570","298","272","1,262","736","526"
"인천광역시 미추홀구 용현5동(2817757000)","44,308","22,032","22,276","6,132","3,181","2,951","7,663","3,926","3,737","8,907","4,585","4,322"
"인천광역시 미추홀구 학익1동(2817758000)","41,413","20,554","20,859","6,500","3,343","3,157","7,109","3,656","3,453","8,454","4,316","4,138"
"인천광역시 미추홀구 학익2동(2817759000)","16,833","8,121","8,712","1,593","784","809","2,193","1,090","1,103","3,021","1,633","1,388"
"인천광역시 미추홀구 도화1동(2817760000)","20,373","10,137","10,236","2,182","1,115","1,067","2,402","1,168","1,234","3,920","2,024","1,896"
"인천광역시 미추홀구 도화2.3동(2817761000)","29,905","15,123","14,782","4,430","2,247","2,183","4,113","2,130","1,983","5,409","2,791","2,618"
"인천광역시 미추홀구 주안1동(2817762000)","19,576","10,442","9,134","1,510","767","743","1,996","974","1,022","5,551","2,955","2,596"
"인천광역시 미추홀구 주안2동(2817763000)","21,602","10,777","10,825","2,415","1,215","1,200","2,344","1,193","1,151","3,950","2,085","1,865"
"인천광역시 미추홀구 주안3동(2817764000)","12,112","6,057","6,055","1,381","712","669","1,399","723","676","2,308","1,188","1,120"
"인천광역시 미추홀구 주안4동(2817765000)","19,880","9,824","10,056","2,408","1,249","1,159","2,200","1,104","1,096","3,581","1,844","1,737"
"인천광역시 미추홀구 주안5동(2817766000)","19,112","9,584","9,528","1,652","837","815","1,939","986","953","3,907","2,072","1,835"
"인천광역시 미추홀구 주안6동(2817767000)","20,858","10,296","10,562","2,570","1,286","1,284","2,909","1,442","1,467","3,915","1,972","1,943"
"인천광역시 미추홀구 주안7동(2817768000)","12,076","5,832","6,244","1,000","530","470","1,224","629","595","1,998","1,066","932"
"인천광역시 미추홀구 주안8동(2817769000)","18,565","9,074","9,491","1,745","885","860","2,404","1,233","1,171","3,264","1,744","1,520"
"인천광역시 미추홀구 관교동(2817770000)","13,737","6,755","6,982","1,362","714","648","1,852","965","887","2,352","1,226","1,126"
"인천광역시 미추홀구 문학동(2817771000)","13,771","7,600","6,171","1,260","635","625","1,765","913","852","2,617","1,450","1,167"
