"행정구역","2025년_전체","2025년_남자","2025년_여자","2025년_아동전체","2025년_아동남자","2025년_아동여자","2025년_청소년전체","2025년_청소년남자","2025년_청소년여자","2025년_청년전체","2025년_청년남자","2025년_청년여자"
"인천광역시 연수구 (2818500000)","409,437","202,573","206,864","71,191","36,299","34,892","72,917","37,244","35,673","77,935","39,986","37,949"
"인천광역시 연수구 옥련1동(2818563000)","17,213","8,464","8,749","1,886","977","909","2,459","1,284","1,175","3,102","1,683","1,419"
"인천광역시 연수구 옥련2동(2818564000)","19,634","9,631","10,003","2,608","1,319","1,289","3,011","1,538","1,473","3,647","1,923","1,724"
"인천광역시 연수구 선학동(2818575000)","17,446","9,009","8,437","1,633","847","786","1,916","1,039","877","3,082","1,746","1,336"
"인천광역시 연수구 연수1동(2818576100)","16,134","8,837","7,297","1,188","637","551","2,089","1,141","948","3,478","2,023","1,455"
"인천광역시 연수구 연수2동(2818576200)","19,047","9,377","9,670","1,889","982","907","2,424","1,271","1,153","4,209","2,278","1,931"
"인천광역시 연수구 연수3동(2818576300)","14,331","6,822","7,509","1,184","640","544","1,665","826","839","2,804","1,470","1,334"
"인천광역시 연수구 청학동(2818576600)","21,860","11,406","10,454","1,656","875","781","2,367","1,240","1,127","3,884","2,224","1,660"
"인천광역시 연수구 동춘1동(2818578000)","25,402","12,391","13,011","4,125","2,113","2,012","4,062","2,032","2,030","4,575","2,309","2,266"
"인천광역시 연수구 동춘2동(2818579000)","16,506","8,001","8,505","1,978","1,017","961","2,461","1,258","1,203","3,412","1,792","1,620"
"인천광역시 연수구 동춘3동(2818579500)","17,476","8,459","9,017","2,934","1,466","1,468","3,802","1,943","1,859","3,117","1,605","1,512"
"인천광역시 연수구 송도1동(2818582000)","36,894","18,020","18,874","6,021","3,045","2,976","8,979","4,489","4,490","9,309","4,690","4,619"
"인천광역시 연수구 송도2동(2818583000)","37,221","18,235","18,986","9,574","4,840","4,734","9,560","4,896","4,664","5,343","2,667","2,676"
"인천광역시 연수구 송도3동(2818584000)","49,276","24,042","25,234","10,497","5,301","5,196","9,704","4,901","4,803","10,640","5,119","5,521"
"인천광역시 연수구 송도4동(2818585000)","54,680","26,941","27,739","13,335","6,746","6,589","10,547","5,323","5,224","9,068","4,368","4,700"
"인천광역시 연수구 송도5동(2818586000)","46,317","22,938","23,379","10,683","5,494","5,189","7,871","4,063","3,808","8,265","4,089","4,176"
