연번,군구명,시설명,주소,전화번호,아동정원,종사자,운영주체
1,중구,구립 연안지역아동센터,"인천광역시 축항대로86번길 38, 3층(항동7가)",032-881-9790,29,3,재단법인 성산청소년효재단
2,중구,구립 월디지역아동센터,"인천광역시 참외전로72번길 25, 3층(전동)",032-773-0984,49,4,대한성공회유지재단
3,중구,그루터기지역아동센터,"인천광역시 참외전로 13번길 2, 송월아파트상가 제121-1호",032-761-0964,40,4,개인
4,동구,금창지역아동센터,인천광역시 금곡로 44(금창동),032-777-8991,25,3,개인
5,동구,모리아지역아동센터,인천광역시 화수로 3-7,032-772-7142,19,2,개인
6,동구,민들레공부방지역아동센터,"인천광역시 화수로 38, 7동 105호(송현동, 동부아파트)",032-762-8664,25,2,개인
7,동구,솔숲지역아동센터,"인천광역시 샛골로194번길 4-8, 2층(송림동)",032-763-0186,19,2,대한성공회유지재단
8,동구,송현샘지역아동센터,"인천광역시 송림로 112-1, 3층(송림동)",032-772-9037,19,2,개인
9,동구,푸른나무교실지역아동센터,인천광역시 솔빛로91번길 7,032-773-9708,39,3,개인
10,동구,해와달지역아동센터,인천광역시 화수로 67-1,032-765-0186,19,2,대한성공회유지재단
11,미추홀구,꿈과씨앗지역아동센터,인천광역시 인하로298번길 9(주안동),032-428-1848,29,3,사단법인 꿈과씨앗
12,미추홀구,꿈나무지역아동센터,인천광역시 경인로252번길 12(도화동),032-875-0261,29,3,개인
13,미추홀구,함께걷기꿈동산지역아동센터,인천광역시 독배로382번길 10(용현동),032-882-3835,29,3,함께걷기 사회적협동조합
14,미추홀구,꿈이있는지역아동센터,인천광역시 용오로 84(용현동),032-886-5052,49,4,개인
15,미추홀구,남구지역아동센터,인천광역시 주안중로38번길 13(주안동),032-441-9708,35,4,개인
16,미추홀구,다솜지역아동센터,인천광역시 인하로430번길 30(관교동),032-421-0257,29,3,기독교대한감리회유지재단
17,미추홀구,드림지역아동센터,인천광역시 미추홀대로 633(주안동),032-873-2888,19,2,개인
18,미추홀구,또래모아지역아동센터,인천광역시 연송로 50(도화동),032-710-3992,19,2,기독교대한감리회유지재단
19,미추홀구,반디지역아동센터,"인천광역시 인하로 370, 3층",032-438-0557,19,2,개인
20,미추홀구,예향꿈터지역아동센터,인천광역시 소성로 99(학익동),032-866-9148,19,2,개인
21,미추홀구,옹기종기지역아동센터,인천광역시 동주길135번길 8(주안동),032-423-2260,29,3,개인
22,미추홀구,행복한꿈나무지역아동센터,"인천광역시 한나루로516번길 52, 3층(주안동)",032-874-4762,19,2,개인
23,미추홀구,희망남구지역아동센터,인천광역시 숙골로38번길 1(도화동),032-876-7779,29,3,충헌사회복지회
24,미추홀구,지킴이문학지역아동센터,"인천광역시 소성로318번길 18-12, 3층",032-433-0557,27,3,지킴이사회적협동조합
25,연수구,가온누리지역아동센터,인천광역시 새말로 146(연수동),032-822-3004,32,4,개인
26,연수구,꿈쟁이지역아동센터,"인천광역시 함박로4번길 4, 3층 302호(연수동)",032-822-5557,29,3,개인
27,연수구,늘푸른지역아동센터,"인천광역시 계림로112번길 25, 2층(청학동)",032-834-1172,35,4,개인
28,연수구,렘넌트지역아동센터,인천광역시 샘말로 95-6(연수동),032-817-8512,29,3,개인
29,연수구,새생명지역아동센터,"인천광역시 먼우금로 282, 302호(연수동)",032-821-0092,32,4,개인
30,연수구,선학동지역아동센터,"인천광역시 선학로 37, 202호/205호(선학동)",032-822-0931,29,3,개인
31,연수구,솔로몬지역아동센터,인천광역시 넘말로55번길 19(선학동),032-812-6445,29,3,개인
32,연수구,쉐마지역아동센터,인천광역시 경원대로467번길 26-5 (선학동),032-822-2005,32,4,개인
33,연수구,위즈키즈지역아동센터,"인천광역시 먼우금로 302, 101동 102호(연수동)",032-822-5077,25,3,개인
34,연수구,참조은아이지역아동센터,"인천광역시 새말로 47, 2층(연수동) ",032-815-6622,19,2,개인
35,연수구,청담지역아동센터,"인천광역시 용담로 54, 2층(청학동)",070-8805-8005,36,4,개인
36,연수구,청어람지역아동센터,인천광역시 독배로82번길 47(옥련동),032-833-4852,33,4,개인
37,연수구,청학동지역아동센터,인천광역시 솔샘로 73(청학동),032-833-4504,35,4,개인
38,연수구,연수지역아동센터,"인천광역시 한나루로158번길 5, 403호(옥련동)",032-831-3565,29,2,개인
39,남동구,MS지역아동센터,"인천광역시 석산로 35, 2층 210호(간석동, 간석마을풍림아이원아파트 상가)",032-422-0685,19,2,개인
40,남동구,가온지역아동센터,인천광역시 구월남로 68(구월동),032-428-4348,35,4,가치누리사회적협동조합
41,남동구,간석지역아동센터,인천광역시 용천로168번길 5(간석동),032-434-3004,27,3,개인
42,남동구,으라차차지역아동센터,"인천광역시 문화로169번길 92, 2층(간석동)",032-201-9477,27,3,언저리사회적협동조합
43,남동구,고려대지역아동센터,"인천광역시 구월로 343, 2층(만수동)",032-466-6686,19,2,개인
44,남동구,광성지역아동센터,인천광역시 구월말로27번길 1(구월동),032-465-9712,35,4,개인
45,남동구,남동구구립지역아동센터,인천광역시 모래내로 14-5(구월동),032-466-6601,35,4,재단법인 성산청소년 효재단 
46,남동구,구월지역아동센터,"인천광역시 용천로 20, 3층(구월동)",032-472-8300,29,3,개인
47,남동구,구월3지역아동센터,"인천광역시 문화서로23번길 13, 4층(구월동)",032-201-5779,19,2,개인
48,남동구,꿈나무지역아동센터,"인천광역시 남촌로 120, 2층(남촌동)",032-462-3522,29,3,작은자들의사회적협동조합
49,남동구,나래지역아동센터,"인천광역시 백범로247번길 54, 2층(구월동)",032-205-4240,35,4,개인
50,남동구,남동지역아동센터,"인천광역시 석산로 194, 2층(간석동)",032-424-8991,19,2,재단법인 기독교대한감리회 유지재단
51,남동구,남촌지역아동센터,"인천광역시 남촌로93번길 34, 3층(남촌동)",032-471-0700,19,2,개인
52,남동구,논현지역아동센터,"인천광역시 장도로 10-3, 10동 1층 101호 (논현동, 성화빌라)",032-422-9882,25,3,개인
53,남동구,드림애지역아동센터,"인천광역시 만경로 31-1, 3층(만수동)",032-464-0302,35,4,개인
54,남동구,등대마을지역아동센터,"인천광역시 청능대로715번길 22, 2층(논현동, 논현주공14단지 관리동)",032-429-2655,35,4,㈜다사랑보육서비스
55,남동구,만수사랑지역아동센터,"인천광역시 만수서로 97-17, 2층(만수동)",032-467-7301,29,3,가치누리사회적협동조합
56,남동구,만수행복지역아동센터,"인천광역시 인수북로4번길 20, 1층(만수동)",032-471-7959,29,2,가치누리사회적협동조합
57,남동구,베스트지역아동센터,"인천광역시 구월말로27번길 90, 2층(구월동)",032-469-8607,19,2,개인
58,남동구,산돌지역아동센터,"인천광역시 백범로 67, 4층(만수동)",032-467-3057,19,2,개인
59,남동구,서창지역아동센터,"인천광역시 매소홀로 1108, 202호(서창동)",070-4124-4610,19,2,개인
60,남동구,선향지역아동센터,"인천광역시 복개동로38번길 21, 2층(만수동)",032-464-0972,23,2,가치누리사회적협동조합
61,남동구,사회적협동조합숲과나무 아이사랑지역아동센터지역아동센터,"인천광역시 용천로 91, 2층(구월동)",032-241-2300,28,3,사회적협동조합 숲과나무
62,남동구,아이원지역아동센터,"인천광역시 주안로259번길 23, 1층(간석동)",032-432-4344,29,3,사회적협동조합혜셰드
63,남동구,지킴이영문지역아동센터,"인천광역시 하촌서로 47, 2층(만수동)",032-466-9789,19,2,지킴이사회적협동조합
64,남동구,예꿈마을지역아동센터,"인천광역시 담방서로17번길 21, 201호(만수동, 이삭아파트 상가)",032-469-0644,19,2,개인
