구분,학교명,학생수,주소,위도,경도,교무실,행정실
초등학교,능허대초등학교,758,인천 연수구 한진로 12,37.424084,126.648761,032-837-7299,032-837-7113
초등학교,동막초등학교,426,인천 연수구 원인재로 36,37.40267,126.674402,032-814-2149,032-814-2149
초등학교,동춘초등학교,616,인천 연수구 앵고개로 224,37.409803,126.668643,032-812-5561,032-821-7156
초등학교,먼우금초등학교,787,인천 연수구 해돋이로84번길 33,37.392941,126.65432,032-629-6310,032-629-6242
초등학교,명선초등학교,983,인천 연수구 컨벤시아대로42번길 64,37.401513,126.64725,032-629-7175,032-629-7179
초등학교,문남초등학교,557,인천 연수구 먼우금로 273,37.42098,126.679399,032-815-2078,032-815-2079
초등학교,미송초등학교,1631,인천 연수구 아카데미로 667,37.37802,126.628698,032-509-1004,032-509-1000
초등학교,박문초등학교,502,인천 연수구 봉재산로 138-22,37.403033,126.665469,032-810-8595,032-810-8591
초등학교,새봄초등학교,507,인천 연수구 앵고개로 104번길 34,37.412785,126.656922,032-455-8845,032-455-8811
초등학교,서면초등학교,439,인천 연수구 먼우금로 54,37.403746,126.670646,032-819-0291,032-819-0294
초등학교,선학초등학교,597,인천 연수구 선학로 67,37.423993,126.700182,032-814-2571,032-814-2572
초등학교,송담초등학교,969,인천 연수구 아카데미로 627,37.37802,126.628698,032-456-7004,032-456-7013
초등학교,송도초등학교,311,인천 연수구 비류대로214번길 21,37.426586,126.658488,032-629-3592,032-629-3636
초등학교,송명초등학교,1257,인천 연수구 송도교육로 19,37.383912,126.643855,032-830-7580,032-830-7509
초등학교,송원초등학교,851,인천 연수구 송도과학로51번길 60,37.383912,126.643855,032-830-7300,032-830-7329
초등학교,송일초등학교,1054,인천 연수구 컨벤시아대로252번길 15,37.392921,126.646044,032-550-7700,032-550-7770
초등학교,신송초등학교,514,인천 연수구 해돋이로56번길 28,37.389889,126.657322,032-858-0940,032-629-6326
초등학교,신정초등학교,1508,인천 연수구 아트센터대로97번길 72,37.39732,126.644402,032-851-9050,032-629-6980
초등학교,연성초등학교,798,인천 연수구 원인재로 116,37.408786,126.679422,032-629-5083,032-629-5086
초등학교,연송초등학교,918,인천 연수구 해돋이로 248,37.390984,126.650837,032-460-7700,032-460-7710
초등학교,연수초등학교,307,인천 연수구 원인재로 324,37.422573,126.694589,032-629-4857,032-629-4885
초등학교,연화초등학교,645,인천 연수구 원인재로 150,37.411373,126.681603,032-629-5275,032-629-5279
초등학교,예송초등학교,1164,인천 연수구 컨벤시아대로252번길 75,37.392921,126.646044,032-458-9160,032-458-9185
초등학교,옥련초등학교,810,인천 연수구 한진로 30,37.425555,126.649156,032-833-6091,032-833-6096
초등학교,은송초등학교,1474,인천 연수구 센트럴로 460,37.394328,126.640779,032-510-7510,032-510-7520
초등학교,중앙초등학교,290,인천 연수구 새말로 153,37.4169646,126.6858078,032-629-3809,032-629-3767
초등학교,첨단초등학교,1670,인천 연수구 송도교육로 20,37.383912,126.643855,032-340-8000,032-340-8075
